Last	First	HOF	From	To	Position1	Position	Position2	Ht	Wt	Month	Day	Year	Country	DaysBefore
Leswick	Jack	N	1934	1934	C	F	NA	66	155	January	1	1910	Canada	0
Willson	Don	N	1938	1939	C	F	NA	68	157	January	1	1914	Canada	0
Armstrong	Murray	N	1938	1946	C	F	NA	70	170	January	1	1916	Canada	0
Stanfield	Jim	N	1970	1972	C	F	RW	70	160	January	1	1947	Canada	0
Yaremchuk	Ken	N	1984	1989	C	F	NA	71	185	January	1	1964	Canada	0
Brule	Gilbert	N	2006	2009	C	F	NA	70	180	January	1	1987	Canada	0
Carter	Jeff	N	2006	2009	C	F	NA	75	200	January	1	1985	Canada	0
Holik	Bobby	N	1991	2009	C	F	NA	76	230	January	1	1971	Czech Republic	0
Hoffinger	Val	N	1928	1929	D	D	NA	66	190	January	1	1901	Russia	0
Falkenberg	Bob	N	1967	1972	D	D	NA	73	185	January	1	1946	Canada	0
McDonald	Terry	N	1976	1976	D	D	NA	73	180	January	1	1956	Canada	0
Hart	Gerry	N	1969	1983	D	D	NA	69	190	January	1	1948	Canada	0
Aiken	John	N	1958	1958	G	G	NA	71	165	January	1	1932	USA	0
Climie	Matt	N	2009	2009	G	G	NA	75	185	January	1	1986	Canada	0
Romnes	 Elwyn 	N	1931	1940	LW	F	C	71	156	January	1	1909	USA	0
Aubuchon	Ossie	N	1943	1944	LW	F	NA	70	175	January	1	1917	Canada	0
MacKay	Calum	N	1947	1955	LW	F	NA	70	178	January	1	1927	Canada	0
Holt	Gary	N	1974	1978	LW	F	NA	69	175	January	1	1952	Canada	0
Hunter	Dave	N	1980	1989	LW	F	NA	71	195	January	1	1958	Canada	0
Stanley	Barney	Y	1928	1928	RW	F	NA	73	175	January	1	1893	Canada	0
Wasnie	Nick	N	1928	1935	RW	F	NA	71	174	January	1	1904	Canada	0
Colwill	Les	N	1959	1959	RW	F	NA	71	170	January	1	1935	Canada	0
Roberto	Phil	N	1970	1977	RW	F	NA	73	190	January	1	1949	Canada	0
Miller	Warren	N	1980	1983	RW	F	NA	73	180	January	1	1954	USA	0
Silk	Dave	N	1980	1986	RW	F	NA	71	190	January	1	1958	USA	0
Young	C.J.	N	1993	1993	RW	F	NA	70	180	January	1	1968	USA	0
Hornqvist	Patric	N	2009	2009	RW	F	NA	71	194	January	1	1987	Sweden	0
Setoguchi	Devin	N	2008	2009	RW	F	NA	73	205	January	1	1987	Canada	0
Labossiere	Gord	N	1964	1972	C	F	NA	73	190	January	2	1940	Canada	0
St.Sauveur	Claude	N	1976	1976	C	F	NA	73	185	January	2	1952	Canada	0
Stewart	John	N	1980	1980	C	F	NA	73	180	January	2	1954	Canada	0
Ftorek	Robbie	N	1973	1985	C	F	LW	70	155	January	2	1952	USA	0
Babenko	Yuri	N	2001	2001	C	F	NA	73	200	January	2	1978	Russia	0
Lind	Juha	N	1998	2001	C	F	NA	71	185	January	2	1974	Finland	0
Mrozik	Rick	N	2003	2003	C	F	NA	74	185	January	2	1975	USA	0
Ebbett	Andrew	N	2008	2009	C	F	NA	70	174	January	2	1983	Canada	0
Konopka	Zenon	N	2006	2009	C	F	NA	73	213	January	2	1981	Canada	0
Harmon	Glen	N	1943	1951	D	D	NA	69	165	January	2	1921	Canada	0
Campbell	Wade	N	1983	1988	D	D	NA	76	220	January	2	1961	Canada	0
Pisa	Ales	N	2002	2003	D	D	NA	73	195	January	2	1977	Czech Republic	0
Svehla	Robert	N	1995	2003	D	D	NA	73	209	January	2	1969	Slovakia	0
Jonsson	Lars	N	2007	2007	D	D	NA	73	205	January	2	1982	Sweden	0
Norstrom	Mattias	N	1994	2008	D	D	NA	74	210	January	2	1972	Sweden	0
Tabaracci	Rick	N	1989	2000	G	G	NA	73	190	January	2	1969	Canada	0
Boucher	Brian	N	2000	2009	G	G	NA	74	198	January	2	1977	USA	0
Cressman	Dave	N	1975	1976	LW	F	NA	73	180	January	2	1950	Canada	0
Hyland	Harry	Y	1918	1918	RW	F	NA	66	156	January	2	1889	Canada	0
Jones	Jimmy	N	1978	1980	RW	F	NA	69	180	January	2	1953	Canada	0
Lee	Peter	N	1978	1983	RW	F	NA	69	180	January	2	1956	England	0
Backman	Mike	N	1982	1984	RW	F	NA	70	175	January	2	1955	Canada	0
Coulter	Neal	N	1986	1988	RW	F	NA	74	190	January	2	1963	Canada	0
Zalesak	Miroslav	N	2003	2004	RW	F	NA	73	200	January	2	1980	Slovakia	0
Brydson	Gord	N	1930	1930	C	F	RW	67	150	January	3	1907	Canada	0
Walton	Mike	N	1966	1979	C	F	NA	70	175	January	3	1945	Canada	0
MacLeish	Rick	N	1971	1984	C	F	NA	71	185	January	3	1950	Canada	0
Major	Bruce	N	1991	1991	C	F	NA	75	180	January	3	1967	Canada	0
Ustorf	Stefan	N	1996	1997	C	F	NA	73	195	January	3	1974	Germany	0
Gamache	Simon	N	2003	2008	C	F	NA	70	186	January	3	1981	Canada	0
Fraser	Gord	N	1927	1931	D	D	NA	73	180	January	3	1902	Canada	0
Morris	Moe	N	1944	1949	D	D	NA	68	187	January	3	1921	Canada	0
Long	Barry	N	1973	1982	D	D	NA	74	210	January	3	1949	Canada	0
Posavad	Mike	N	1986	1987	D	D	NA	71	195	January	3	1964	Canada	0
Huffman	Kerry	N	1987	1996	D	D	NA	74	200	January	3	1968	Canada	0
Vyshedkevich	Sergei	N	2000	2001	D	D	NA	73	195	January	3	1975	Russia	0
Berehowsky	Drake	N	1991	2004	D	D	NA	74	225	January	3	1972	Canada	0
Cross	Cory	N	1994	2006	D	D	NA	77	225	January	3	1971	Canada	0
Poapst	Steve	N	1996	2006	D	D	NA	73	199	January	3	1969	Canada	0
Belle	Shawn	N	2007	2007	D	D	NA	74	232	January	3	1985	Canada	0
LaFerriere	Rick	N	1982	1982	G	G	NA	68	165	January	3	1961	Canada	0
St.Croix	Rick	N	1978	1985	G	G	NA	70	160	January	3	1955	Canada	0
Cloutier	Jacques	N	1982	1994	G	G	NA	67	168	January	3	1960	Canada	0
Bourcier	Jean	N	1936	1936	LW	F	NA	71	175	January	3	1911	Canada	0
Tustin	Norm	N	1942	1942	LW	F	NA	71	175	January	3	1919	Canada	0
Lemieux	Real	N	1967	1974	LW	F	NA	71	180	January	3	1945	Canada	0
Hull	Bobby	Y	1958	1980	LW	F	NA	70	195	January	3	1939	Canada	0
Latta	David	N	1986	1991	LW	F	NA	73	190	January	3	1967	Canada	0
Laforge	Marc	N	1990	1994	LW	F	NA	74	210	January	3	1968	Canada	0
Warriner	Todd	N	1995	2003	LW	F	NA	73	200	January	3	1974	Canada	0
Ivanans	Raitis	N	2006	2009	LW	F	NA	76	263	January	3	1979	Latvia	0
York	Mike	N	2000	2009	LW	F	NA	70	185	January	3	1978	USA	0
Primeau	Kevin	N	1981	1981	RW	F	NA	73	180	January	3	1956	Canada	0
Britz	Greg	N	1984	1987	RW	F	NA	73	190	January	3	1961	USA	0
Sundblad	Niklas	N	1996	1996	RW	F	NA	73	200	January	3	1973	Sweden	0
Nabokov	Dmitri	N	1998	2000	C	F	LW	74	209	January	4	1977	Russia	0
Colley	Kevin	N	2006	2006	C	F	NA	70	175	January	4	1979	USA	0
Hudler	Jiri	N	2004	2009	C	F	NA	69	182	January	4	1984	Czech Republic	0
Baca	Jergus	N	1991	1992	D	D	NA	74	211	January	4	1965	Slovakia	0
De Vries	Greg	N	1996	2009	D	D	NA	74	215	January	4	1973	Canada	0
Meyer	Freddy	N	2004	2009	D	D	NA	70	192	January	4	1981	USA	0
Mitchell	Herb	N	1925	1926	LW	F	NA	70	190	January	4	1896	Canada	0
